	Allgemeine Kapitel	Spezifische Kapitel
06754850.pdf	1970	3806
06754851.pdf	2223	4482
06754853.pdf	2363	3564
06754854.pdf	2678	2498
06754855.pdf	2904	2990
06754858.pdf	2206	6618
06754859.pdf	3027	4652
06754860.pdf	2005	3719
06754861.pdf	3186	2364
06754862.pdf	5772	0
06754863.pdf	1421	2684
06754864.pdf	2096	6169
06754865.pdf	3068	11717
06754866.pdf	3437	4812
06754872.pdf	3813	11002
07460660.pdf	2955	5706
07460663.pdf	5923	12313
07460664.pdf	5171	6708
07460665.pdf	882	2029
07460666.pdf	1255	1494
07460667.pdf	646	3120
07460668.pdf	1541	823
07460669.pdf	1556	2357
07460672.pdf	1143	2197
07460674.pdf	2917	12388
07460675.pdf	6275	7918
07460676.pdf	6720	9720
07460677.pdf	6514	6090
07460678.pdf	5878	12507
07460679.pdf	3709	13161
07460680.pdf	5085	5321
07460681.pdf	5532	12272
07460719.pdf	6151	5952
07460723.pdf	4460	6024
07460724.pdf	5967	4952
08052702.pdf	1547	7424
08052703.pdf	2527	3168
08052711.pdf	2936	3360
08052712.pdf	3704	3082
08052714.pdf	1501	3567
08052715.pdf	1310	2799
08052717.pdf	2529	2971
08052719.pdf	1894	3305
08052720.pdf	3544	2636
08052721.pdf	5490	0
08052723.pdf	2265	3820
08052725.pdf	1608	3395
08052727.pdf	1762	4762
08052728.pdf	2572	11363
08052729.pdf	3174	2296
08052730.pdf	3047	3858
08052735.pdf	1869	765
08052738.pdf	4595	6073
08052739.pdf	2478	2389
08052740.pdf	2810	6501
08455879.pdf	2590	11682
08455882.pdf	1923	5091
08455883.pdf	5012	3747
08455884.pdf	3028	6518
08455885.pdf	3264	6843
08455888.pdf	3172	13966
08455889.pdf	2722	4181
08455890.pdf	5957	11753
08455891.pdf	3215	3718
08455892.pdf	2843	11211
08455893.pdf	2674	4037
08455898.pdf	2486	9075
08455899.pdf	2311	6504
08455900.pdf	3357	3987
08455901.pdf	4547	14022
08455913.pdf	4015	4425
08455916.pdf	5929	3389
08455917.pdf	4004	9490
08455918.pdf	2499	4458
08455947.pdf	3305	10062
08484325.pdf	1529	2172
08484326.pdf	1736	2410
08484335.pdf	1134	3349
08484353.pdf	1734	4761
08484366.pdf	1652	7648
08484372.pdf	1149	2298
08484384.pdf	1342	2928
08484386.pdf	1124	3150
08484389.pdf	1478	3078
08484446.pdf	1561	2039
08484502.pdf	1315	1944
08484553.pdf	1755	5591
08484564.pdf	926	2976
08484612.pdf	1949	2447
08484613.pdf	1551	1526
08484690.pdf	1574	4713
08484695.pdf	1300	3168
08484696.pdf	1372	6055
08484697.pdf	1400	3936
08484718.pdf	1332	2752
08779876.pdf	22061	0
08779885.pdf	21932	0
08779890.pdf	17392	0
08779904.pdf	23064	0
08779905.pdf	1111	2557
08779914.pdf	17022	0
08779931.pdf	22063	0
08779941.pdf	35075	0
08779979.pdf	16243	10991
08779991.pdf	2960	12280
08779998.pdf	2136	4470
08780013.pdf	0	15586
08780029.pdf	3340	3097
08780031.pdf	1389	4820
08780043.pdf	24353	0
08780044.pdf	1443	5267
08780077.pdf	21574	741
08780086.pdf	18286	0
08780091.pdf	1764	4267
08780110.pdf	18077	0
08831190.pdf	3311	8256
08831191.pdf	5350	16690
08831192.pdf	5041	5090
08831193.pdf	5446	9140
08831195.pdf	2229	7022
08831196.pdf	4312	5485
08831197.pdf	6698	6172
08831198.pdf	4761	9331
08831199.pdf	3400	11602
08831204.pdf	3687	7660
08831206.pdf	6157	13450
08831207.pdf	4753	9228
08831208.pdf	4431	8188
08831212.pdf	5542	5962
08831213.pdf	4065	6800
08831214.pdf	4017	19419
08831215.pdf	3743	8341
08831216.pdf	2891	4110
08831217.pdf	4967	10579
08831218.pdf	8866	0
